АВС/ DEF;От;До;Емкость;Оператор;Регион;Территория ГАР;ИНН
800;1000000;1009999;10000;ПАО "Ростелеком";Российская Федерация;Российская Федерация;7707049388
800;1010000;1019999;10000;ПАО "Ростелеком";Российская Федерация, кроме Чеченской Республики;Республика Адыгея, Республика Башкортостан, Республика Бурятия, Республика Алтай, Республика Дагестан, Республика Ингушетия, Кабардино-Балкарская Республика, Республика Калмыкия, Карачаево-Черкесская Республика, Республика Карелия, Республика Коми, Республика Марий Эл, Республика Мордовия, Республика Саха (Якутия), Республика Северная Осетия - Алания, Республика Татарстан, Республика Тыва, Удмуртская Республика, Республика Хакасия, Чувашская Республика - Чувашия, Алтайский край, Краснодарский край, Приморский край, Ставропольский край, Амурская область, Архангельская область, Астраханская область, Хабаровский край, Белгородская область, Брянская область, Владимирская область, Волгоградская область, Вологодская область, Воронежская область, Ивановская область, Иркутская область, Калининградская область, Калужская область, Кемеровская область - Кузбасс, Кировская область, Костромская область, Курганская область, Курская область, Ленинградская область, Липецкая область, Московская область, Магаданская область, Мурманская область, Нижегородская область, Новгородская область, Новосибирская область, Омская область, Оренбургская область, Орловская область, Пензенская область, Псковская область, Ростовская область, Рязанская область, Самарская область, Саратовская область, Сахалинская область, Свердловская область, Смоленская область, Тамбовская область, Тверская область, Томская область, Тульская область, Тюменская область, Ульяновская область, Челябинская область, Забайкальский край, Ярославская область, Город Москва, Город Санкт-Петербург, Еврейская автономная область, Красноярский край, Республика Крым, Ямало-Ненецкий автономный округ, Пермский край, Камчатский край, Ненецкий автономный округ, Ханты-Мансийский автономный округ - Югра, Город Байконур, Город Севастополь, Запорожская область, Донецкая Народная Республика, Луганская Народная Республика, Херсонская область;7707049388
800;1040000;1040000;1;ПАО "РОСТЕЛЕКОМ";Российская Федерация;Алтайский край, Амурская область, Архангельская область, Астраханская область, Белгородская область, Брянская область, Владимирская область, Волгоградская область, Вологодская область, Воронежская область, Город Москва, Город Санкт-Петербург, Еврейская автономная область, Забайкальский край, Ивановская область, Иркутская область, Кабардино-Балкарская Республика, Калининградская область, Калужская область, Камчатский край, Карачаево-Черкесская Республика, Кемеровская область - Кузбасс, Кировская область, Костромская область, Краснодарский край, Красноярский край, Курганская область, Курская область, Ленинградская область, Липецкая область, Магаданская область, Московская область, Мурманская область, Ненецкий автономный округ, Нижегородская область, Новгородская область, Новосибирская область, Омская область, Оренбургская область, Орловская область, Пензенская область, Пермский край, Приморский край, Псковская область, Республика Адыгея, Республика Алтай, Республика Башкортостан, Республика Бурятия, Республика Дагестан, Республика Ингушетия, Республика Калмыкия, Республика Карелия, Республика Коми, Республика Марий Эл, Республика Мордовия, Республика Саха (Якутия), Республика Северная Осетия - Алания, Республика Татарстан, Республика Тыва, Республика Хакасия, Ростовская область, Рязанская область, Самарская область, Саратовская область, Сахалинская область, Свердловская область, Смоленская область, Ставропольский край, Тамбовская область, Тверская область, Томская область, Тульская область, Тюменская область, Удмуртская Республика, Ульяновская область, Хабаровский край, Ханты-Мансийский автономный округ - Югра, Челябинская область, Чувашская Республика - Чувашия, Чукотский автономный округ, Ямало-Ненецкий автономный округ, Ярославская область;7707049388
800;1040001;1040009;9;ПАО "РОСТЕЛЕКОМ";Российская Федерация;Алтайский край, Амурская область, Архангельская область, Астраханская область, Белгородская область, Брянская область, Владимирская область, Волгоградская область, Вологодская область, Воронежская область, Город Москва, Город Санкт-Петербург, Еврейская автономная область, Забайкальский край, Ивановская область, Иркутская область, Кабардино-Балкарская Республика, Калининградская область, Калужская область, Камчатский край, Карачаево-Черкесская Республика, Кемеровская область - Кузбасс, Кировская область, Костромская область, Краснодарский край, Красноярский край, Курганская область, Курская область, Ленинградская область, Липецкая область, Магаданская область, Московская область, Мурманская область, Ненецкий автономный округ, Нижегородская область, Новгородская область, Новосибирская область, Омская область, Оренбургская область, Орловская область, Пензенская область, Пермский край, Приморский край, Псковская область, Республика Адыгея, Республика Алтай, Республика Башкортостан, Республика Бурятия, Республика Дагестан, Республика Ингушетия, Республика Калмыкия, Республика Карелия, Республика Коми, Республика Марий Эл, Республика Мордовия, Республика Саха (Якутия), Республика Северная Осетия - Алания, Республика Татарстан, Республика Тыва, Республика Хакасия, Ростовская область, Рязанская область, Самарская область, Саратовская область, Сахалинская область, Свердловская область, Смоленская область, Ставропольский край, Тамбовская область, Тверская область, Томская область, Тульская область, Тюменская область, Удмуртская Республика, Ульяновская область, Хабаровский край, Ханты-Мансийский автономный округ - Югра, Челябинская область, Чувашская Республика - Чувашия, Чукотский автономный округ, Ямало-Ненецкий автономный округ, Ярославская область;7707049388
800;1100000;1100000;1;ООО "ОНТЕЛЕКОМ";Рязанская обл.;Рязанская область;6229071556
800;1100011;1100011;1;ООО "ОНТЕЛЕКОМ";Рязанская обл.;Рязанская область;6229071556
800;1101111;1101111;1;ООО "ОНТЕЛЕКОМ";Рязанская обл.;Рязанская область;6229071556
800;1110000;1119999;10000;ООО "НПП БИЗНЕС СВЯЗЬ ХОЛДИНГ";Российская Федерация, кроме Чукотского автономного округа;Республика Адыгея, Республика Башкортостан, Республика Бурятия, Республика Алтай, Республика Дагестан, Республика Ингушетия, Кабардино-Балкарская Республика, Республика Калмыкия, Карачаево-Черкесская Республика, Республика Карелия, Республика Коми, Республика Марий Эл, Республика Мордовия, Республика Саха (Якутия), Республика Северная Осетия - Алания, Республика Татарстан, Республика Тыва, Удмуртская Республика, Республика Хакасия, Чеченская Республика, Чувашская Республика - Чувашия, Алтайский край, Краснодарский край, Приморский край, Ставропольский край, Амурская область, Архангельская область, Астраханская область, Хабаровский край, Белгородская область, Брянская область, Владимирская область, Волгоградская область, Вологодская область, Воронежская область, Ивановская область, Иркутская область, Калининградская область, Калужская область, Кемеровская область - Кузбасс, Кировская область, Костромская область, Курганская область, Курская область, Ленинградская область, Липецкая область, Московская область, Магаданская область, Мурманская область, Нижегородская область, Новгородская область, Новосибирская область, Омская область, Оренбургская область, Орловская область, Пензенская область, Псковская область, Ростовская область, Рязанская область, Самарская область, Саратовская область, Сахалинская область, Свердловская область, Смоленская область, Тамбовская область, Тверская область, Томская область, Тульская область, Тюменская область, Ульяновская область, Челябинская область, Забайкальский край, Ярославская область, Город Москва, Город Санкт-Петербург, Еврейская автономная область, Красноярский край, Республика Крым, Ямало-Ненецкий автономный округ, Пермский край, Камчатский край, Ненецкий автономный округ, Город Севастополь, Ханты-Мансийский автономный округ - Югра, Запорожская область, Донецкая Народная Республика, Луганская Народная Республика, Херсонская область;7703050752
800;1220000;1220000;1;ООО "ТЕЛЕДАЙН СИСТЕМС ЛИМИТЕД";Амурская обл.;Амурская область;2801037655
800;1220022;1220022;1;ООО "ТЕЛЕДАЙН СИСТЕМС ЛИМИТЕД";Амурская обл.;Амурская область;2801037655
